חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה
03/08/2019 21:40:34,בוגר/ת,המכללה האקדמית להנדסה ירושלים ,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",HP Indigo ,8-10,19000,גלובלי,קרן השתלמות. תנאים סוציאליים טובים מאוד ,כן
04/08/2019 21:23:38,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תנובה,8-10,16000,גלובלי,,כן
04/08/2019 23:37:13,בוגר/ת,אוניברסיטת אריאל,מוסד ממשלתי,הנדסת ארגון ושיטות,,8-10,25000,שעתי,,לא
22/08/2019 20:28:16,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,8-10,15000,שעתי,קרן הש3,לא
31/01/2021 17:04:04,בוגר/ת,אוניברסיטת תל אביב,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",,8-10,22000,גלובלי,"קרן השתלמות, החזר ארוחות",לא
01/08/2019 11:49:58,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),QA (Software) - ידני,Oracle,5-7,30000,גלובלי,,לא
01/08/2019 12:46:33,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",יועץ בצבא בתחום הSAP HR מערכות מידע,מיישם מערכות מידע,אקסאקט,5-7,20000,גלובלי,יועץ חיצוני בחברת כח אדם ,לא
01/08/2019 13:06:30,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י), מיכון חצי אוטומט",,5-7,40,שעתי,,כן
01/08/2019 17:16:33,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",רכש,,5-7,9500,שעתי,,לא
01/08/2019 19:13:54,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,5-7,18000,גלובלי,,לא
01/08/2019 19:21:07,בוגר/ת,HIT מכון טכנלוגי,יבואני רכב,הנדסת ארגון ושיטות,אלבר,5-7,12000,גלובלי,,כן
